fn,start,stop,label
1748.WAV,217.2188774013653,217.56512577403535,en
1748.WAV,219.06504626422523,219.46323189279585,hg
1748.WAV,222.95061804211207,223.32802876832247,au
1748.WAV,225.47543371540536,225.7870572508085,en
1748.WAV,227.3520998952773,227.7502855238479,hg
1748.WAV,230.37551322521557,230.6905992443453,en
1748.WAV,232.6510300701865,233.0873030197508,hg
1748.WAV,235.1689207760264,235.50824418124307,au
1748.WAV,237.58986193751863,237.90841044037512,en
1748.WAV,240.54402559292288,240.9422112214935,hg
1748.WAV,242.98161413652036,243.31747505801036,en
1748.WAV,245.0528444416159,245.46834248882,hg
1748.WAV,247.23487422596585,247.57073514745585,en
1748.WAV,249.94666402050092,250.2825249419909,au
1748.WAV,252.74781335540203,253.17716133751296,hg
1748.WAV,255.69158955962624,256.0032130950293,en
1748.WAV,258.2371801352798,258.69769047093104,hg
1748.WAV,261.47872994000016,261.81805334521687,en
1748.WAV,264.7410546470808,265.1219278570179,hg
1748.WAV,267.452844441616,267.7990928142861,en
1748.WAV,270.9852428793793,271.39381595913,hg
1748.WAV,273.7974447019887,274.1229181722986,en
1748.WAV,275.8652125233575,276.2807105705616,hg
1748.WAV,277.9184653732912,278.23701387614767,en
1748.WAV,280.7168172609938,281.05960314993723,au
1748.WAV,283.1100585526725,283.428607055529,en
1748.WAV,285.96381018000244,286.3793082272066,hg
1748.WAV,289.5100585526725,289.83899450670907,en
1748.WAV,292.4746096592568,292.8866452227342,hg
1748.WAV,295.4391607658412,295.76463423615104,en
1748.WAV,298.6253108309343,298.94385933379084,au
1748.WAV,300.89323767192343,301.20832369105324,en
1748.WAV,302.59051973453523,302.9713929444723,hg
1748.WAV,306.0086562093174,306.337592163354,en
1748.WAV,309.0493819578891,309.4371801352796,hg
1748.WAV,321.745507446088,322.0640559489445,en
1748.WAV,325.25366849776447,325.63454170770154,hg
1748.WAV,329.0596031499371,329.3781516527936,en
1748.WAV,331.9237422284471,332.249215698757,au
1748.WAV,339.93099971416456,340.2287733146609,en
1748.WAV,343.25564912832584,343.6399848219897,hg
1748.WAV,345.03536576385017,345.37122668534016,en
1748.WAV,345.81096211863115,346.2437725844688,hg
1748.WAV,353.05647318447444,353.385409138511,en
1748.WAV,362.37254951888497,362.68417305428807,ah
1748.WAV,364.50197701080606,364.8586128346562,au
1748.WAV,370.7773275966448,371.11665100186144,au
1748.WAV,373.31253072111815,373.67262902869504,cd
1748.WAV,375.02366271863673,375.6642222080764,cb
1748.WAV,377.25350223863217,377.6066755787557,cc
1748.WAV,381.9049479566482,382.358533324846,df
1748.WAV,384.47823840211527,384.8798865144126,cd
1748.WAV,386.9123644619861,387.5702363700592,cb
1748.WAV,391.8477338455915,392.20090718571504,cc
1748.WAV,394.7949725335424,395.1862331946596,cd
1748.WAV,396.3461652431044,396.99364969999743,cb
1748.WAV,398.5385824786344,398.8779058838511,cc
1748.WAV,400.89373644931936,401.2503722731696,cd
1748.WAV,407.3041239004994,407.9308334550323,cb
1748.WAV,422.44130041602256,422.759848918879,hd
1748.WAV,424.3601814371432,424.6960423586332,ip
1748.WAV,426.2721374908104,426.63916076584064,iq
1748.WAV,428.8655378021094,429.1702363700591,ce
1748.WAV,430.07460965925634,430.413933064473,ip
1748.WAV,433.1845850823621,433.53083345503217,iq
1748.WAV,434.9089019782592,435.20321309502873,ce
1748.WAV,471.19678690497153,471.4945605054678,hd
1748.WAV,472.73759216335344,473.0561406662099,ip
1748.WAV,474.7638101800018,475.120446003852,iq
1748.WAV,476.903625123103,477.2187111422328,ip
1748.WAV,478.9990928142854,479.362653605589,iq
1748.WAV,480.6825249419903,480.98029854248654,hd
1748.WAV,483.556386435152,483.892247356642,ip
1748.WAV,485.066694376522,485.42679268409887,iq
1748.WAV,487.2140993236049,487.55688521254825,iq
1748.WAV,489.03882824757625,489.3296768806192,ce
1748.WAV,490.45564912832526,490.7568852125482,cm
1748.WAV,492.2596031499365,492.8690002858359,ja
1748.WAV,493.7248988028593,494.0330598545357,bp
1748.WAV,495.1826044518004,495.8093140063333,ja
1748.WAV,497.89785673006224,498.1956303305585,bp
1748.WAV,500.6858211665849,501.333305623478,ja
1748.WAV,502.61442460235736,502.9087357191269,bp
1748.WAV,504.2597694090686,504.8795539961481,ja
1748.WAV,505.80749963490393,506.1260481377604,bp
1748.WAV,507.501319213789,507.7367681072047,jm
1748.WAV,509.3094007556553,509.6452616771452,bp
1748.WAV,518.1539142667061,518.434375448569,bp
1748.WAV,520.0901077064603,520.7202797447198,ja
1748.WAV,523.110058552672,523.4182196043483,bp
1748.WAV,526.542044962361,526.8398185628573,bp
1748.WAV,529.4338839106846,529.8909317626092,fe
1748.WAV,531.1997506113021,531.5529239514256,el
1748.WAV,533.2155811767705,533.430255167826,bm
1748.WAV,535.7092344965235,536.0485579017403,am
1748.WAV,537.9986012764011,538.3413871653445,el
1748.WAV,539.4528444416155,539.9306671959002,fe
1748.WAV,541.7699110913069,541.9811225986356,bm
1748.WAV,545.2780721429833,545.6312454831068,el
1748.WAV,550.2958760995014,550.5901872162709,bp
1748.WAV,554.8746096592567,555.241632934287,el
1748.WAV,556.7374259042219,556.9313249929172,bm
1748.WAV,557.9534227288223,558.2996711014923,el
1748.WAV,559.8370138761476,560.2802117931653,fe
1748.WAV,561.7732073159018,562.1090682373919,am
1748.WAV,564.6892836503124,564.9905197345354,bp
1748.WAV,566.7459989839728,566.9572104913016,bm
1748.WAV,568.8380041914284,569.2154149176388,am
1748.WAV,570.6391607658413,570.9854091385114,el
1748.WAV,572.6370138761478,573.0663618582587,fe
1748.WAV,574.9852428793794,575.1895294192548,bm
1748.WAV,576.4117861747802,576.7095597752765,bp
