fn,label,pos,cluster
0.wav,,1,-1
6.wav,,1,47
7.wav,,1,47
8.wav,,1,47
9.wav,,1,47
11.wav,,1,47
13.wav,,1,47
15.wav,,1,47
16.wav,,1,47
17.wav,,1,47
18.wav,,1,47
19.wav,,1,47
21.wav,,1,47
24.wav,,1,27
28.wav,,1,27
30.wav,,1,-1
38.wav,,1,47
40.wav,,1,47
42.wav,,1,47
43.wav,,1,47
44.wav,,1,-1
45.wav,,1,47
46.wav,,1,-1
47.wav,,1,-1
48.wav,,1,-1
49.wav,,1,47
50.wav,,1,47
52.wav,,1,47
53.wav,,1,47
55.wav,,1,47
65.wav,,1,-1
66.wav,,1,45
67.wav,,1,-1
70.wav,,1,-1
72.wav,,1,-1
73.wav,,1,-1
75.wav,,1,-1
76.wav,,1,-1
80.wav,,1,-1
81.wav,,1,-1
82.wav,,1,-1
93.wav,,1,-1
94.wav,,1,-1
95.wav,,1,-1
96.wav,,1,-1
98.wav,,1,-1
103.wav,,1,-1
104.wav,,1,-1
105.wav,,1,-1
108.wav,,1,-1
110.wav,,1,-1
111.wav,,1,17
112.wav,,1,-1
113.wav,,1,-1
114.wav,,1,-1
115.wav,,1,-1
117.wav,,1,17
118.wav,,1,-1
119.wav,,1,-1
120.wav,,1,-1
122.wav,,1,27
123.wav,,1,27
124.wav,,1,-1
127.wav,,1,-1
128.wav,,1,-1
130.wav,,1,-1
131.wav,,1,-1
133.wav,,1,-1
134.wav,,1,-1
135.wav,,1,-1
136.wav,,1,-1
137.wav,,1,-1
142.wav,,1,-1
146.wav,,1,-1
148.wav,,1,-1
149.wav,,1,-1
150.wav,,1,-1
151.wav,,1,-1
152.wav,,1,-1
153.wav,,1,-1
154.wav,,1,-1
156.wav,,1,-1
158.wav,,1,-1
161.wav,,1,-1
170.wav,,1,59
175.wav,,1,-1
176.wav,,1,-1
178.wav,,1,-1
180.wav,,1,-1
182.wav,,1,-1
185.wav,,1,-1
186.wav,,1,-1
190.wav,,1,-1
194.wav,,1,-1
195.wav,,1,-1
197.wav,,1,-1
198.wav,,1,-1
199.wav,,1,-1
202.wav,,1,-1
203.wav,,1,27
204.wav,,1,27
205.wav,,1,27
206.wav,,1,-1
207.wav,,1,-1
208.wav,,1,17
209.wav,,1,-1
212.wav,,1,-1
214.wav,,1,54
216.wav,,1,-1
218.wav,,1,59
219.wav,,1,-1
222.wav,,1,-1
224.wav,,1,45
226.wav,,1,-1
228.wav,,1,9
232.wav,,1,9
234.wav,,1,60
235.wav,,1,-1
236.wav,,1,60
237.wav,,1,-1
238.wav,,1,60
240.wav,,1,60
241.wav,,1,60
242.wav,,1,60
243.wav,,1,60
244.wav,,1,-1
245.wav,,1,-1
246.wav,,1,-1
247.wav,,1,-1
248.wav,,1,-1
250.wav,,1,-1
251.wav,,1,-1
252.wav,,1,-1
253.wav,,1,-1
254.wav,,1,-1
255.wav,,1,-1
256.wav,,1,-1
257.wav,,1,-1
258.wav,,1,-1
259.wav,,1,-1
260.wav,,1,-1
261.wav,,1,-1
262.wav,,1,-1
263.wav,,1,-1
264.wav,,1,-1
265.wav,,1,-1
267.wav,,1,-1
268.wav,,1,53
269.wav,,1,-1
270.wav,,1,53
271.wav,,1,-1
272.wav,,1,-1
273.wav,,1,-1
274.wav,,1,-1
275.wav,,1,-1
277.wav,,1,59
278.wav,,1,-1
280.wav,,1,-1
282.wav,,1,-1
283.wav,,1,-1
284.wav,,1,-1
285.wav,,1,-1
286.wav,,1,-1
287.wav,,1,-1
288.wav,,1,-1
289.wav,,1,27
290.wav,,1,-1
292.wav,,1,-1
293.wav,,1,-1
294.wav,,1,-1
295.wav,,1,-1
296.wav,,1,-1
297.wav,,1,27
298.wav,,1,-1
299.wav,,1,29
300.wav,,1,48
301.wav,,1,-1
303.wav,,1,-1
304.wav,,1,-1
305.wav,,1,-1
306.wav,,1,60
307.wav,,1,-1
308.wav,,1,-1
309.wav,,1,-1
310.wav,,1,-1
311.wav,,1,-1
312.wav,,1,-1
313.wav,,1,-1
314.wav,,1,-1
315.wav,,1,-1
316.wav,,1,-1
320.wav,,1,-1
324.wav,,1,17
325.wav,,1,27
326.wav,,1,-1
327.wav,,1,-1
328.wav,,1,-1
329.wav,,1,-1
330.wav,,1,-1
331.wav,,1,-1
332.wav,,1,-1
333.wav,,1,-1
334.wav,,1,-1
335.wav,,1,-1
336.wav,,1,-1
337.wav,,1,-1
338.wav,,1,56
339.wav,,1,48
340.wav,,1,56
341.wav,,1,-1
342.wav,,1,40
343.wav,,1,-1
344.wav,,1,-1
345.wav,,1,56
346.wav,,1,46
347.wav,,1,46
348.wav,,1,-1
349.wav,,1,46
350.wav,,1,56
351.wav,,1,46
352.wav,,1,56
353.wav,,1,-1
354.wav,,1,-1
355.wav,,1,-1
356.wav,,1,59
358.wav,,1,-1
359.wav,,1,43
360.wav,,1,53
361.wav,,1,59
362.wav,,1,-1
363.wav,,1,-1
364.wav,,1,-1
365.wav,,1,-1
366.wav,,1,-1
367.wav,,1,-1
368.wav,,1,-1
369.wav,,1,51
372.wav,,1,-1
373.wav,,1,40
374.wav,,1,-1
375.wav,,1,-1
376.wav,,1,48
377.wav,,1,-1
378.wav,,1,-1
379.wav,,1,45
380.wav,,1,-1
381.wav,,1,60
382.wav,,1,-1
385.wav,,1,-1
386.wav,,1,-1
387.wav,N1,1,-1
388.wav,,1,-1
389.wav,,1,59
390.wav,,1,-1
391.wav,,1,59
393.wav,,1,-1
394.wav,,1,-1
395.wav,,1,-1
396.wav,,1,59
397.wav,,1,-1
398.wav,,1,-1
399.wav,,1,57
400.wav,,1,46
403.wav,,1,-1
404.wav,,1,57
406.wav,,1,29
407.wav,,1,-1
409.wav,,1,-1
411.wav,,1,-1
412.wav,,1,-1
413.wav,,1,48
414.wav,,1,46
416.wav,,1,-1
417.wav,,1,48
418.wav,,1,57
420.wav,,1,-1
422.wav,,1,-1
423.wav,,1,-1
424.wav,,1,-1
425.wav,,1,-1
427.wav,,1,-1
428.wav,,1,-1
429.wav,,1,51
430.wav,,1,-1
431.wav,,1,-1
432.wav,,1,57
433.wav,,1,-1
434.wav,,1,-1
441.wav,,1,60
442.wav,,1,-1
443.wav,,1,60
444.wav,,1,-1
445.wav,,1,60
446.wav,,1,-1
447.wav,,1,-1
448.wav,,1,43
449.wav,,1,52
450.wav,,1,-1
451.wav,,1,-1
452.wav,,1,43
453.wav,,1,60
456.wav,,1,-1
458.wav,,1,-1
461.wav,,1,-1
462.wav,,1,-1
463.wav,,1,-1
464.wav,,1,-1
465.wav,,1,-1
466.wav,,1,-1
467.wav,,1,-1
468.wav,,1,-1
469.wav,,1,-1
470.wav,,1,-1
471.wav,,1,-1
472.wav,,1,57
473.wav,,1,58
474.wav,,1,52
475.wav,,1,-1
476.wav,,1,-1
477.wav,,1,59
478.wav,,1,-1
484.wav,,1,-1
487.wav,,1,-1
493.wav,,1,27
495.wav,,1,-1
499.wav,,1,-1
502.wav,,1,-1
503.wav,,1,-1
507.wav,,1,-1
508.wav,,1,-1
509.wav,,1,-1
510.wav,,1,51
512.wav,,1,-1
513.wav,,1,-1
514.wav,,1,-1
515.wav,,1,-1
516.wav,,1,-1
517.wav,,1,-1
518.wav,,1,-1
519.wav,,1,-1
520.wav,,1,-1
521.wav,,1,-1
522.wav,,1,-1
523.wav,,1,-1
524.wav,,1,-1
525.wav,,1,27
526.wav,,1,27
529.wav,N4,1,17
530.wav,,1,-1
531.wav,,1,-1
532.wav,N4,1,17
533.wav,,1,-1
534.wav,,1,-1
536.wav,,1,17
538.wav,,1,27
539.wav,,1,-1
541.wav,,1,27
542.wav,,1,-1
543.wav,,1,27
544.wav,,1,28
545.wav,,1,27
546.wav,,1,27
547.wav,,1,27
548.wav,,1,27
549.wav,,1,28
550.wav,,1,-1
553.wav,,1,60
554.wav,,1,-1
555.wav,N9,1,60
561.wav,,1,-1
562.wav,,1,-1
563.wav,,1,-1
564.wav,,1,59
567.wav,,1,27
569.wav,,1,-1
570.wav,,1,27
571.wav,,1,27
573.wav,,1,27
575.wav,,1,-1
576.wav,,1,27
577.wav,,1,-1
578.wav,,1,-1
579.wav,,1,-1
580.wav,,1,-1
581.wav,,1,-1
582.wav,,1,-1
583.wav,,1,-1
584.wav,,1,-1
586.wav,,1,28
588.wav,,1,-1
589.wav,,1,17
590.wav,,1,-1
592.wav,,1,-1
593.wav,,1,-1
596.wav,,1,-1
597.wav,,1,-1
598.wav,,1,-1
605.wav,,1,9
608.wav,,1,-1
610.wav,,1,-1
612.wav,,1,-1
617.wav,,1,-1
618.wav,,1,-1
619.wav,,1,59
620.wav,,1,-1
621.wav,,1,59
625.wav,,1,-1
626.wav,,1,46
627.wav,,1,46
654.wav,,1,60
656.wav,,1,58
658.wav,,1,-1
660.wav,,1,-1
666.wav,,1,-1
667.wav,,1,-1
668.wav,,1,-1
670.wav,,1,-1
671.wav,,1,27
672.wav,,1,27
681.wav,,1,52
682.wav,,1,-1
683.wav,,1,52
684.wav,,1,52
690.wav,,1,-1
696.wav,,1,-1
697.wav,,1,52
708.wav,,1,52
710.wav,,1,27
711.wav,,1,27
716.wav,,1,-1
719.wav,,1,27
721.wav,,1,27
722.wav,,1,27
724.wav,,1,27
726.wav,,1,27
727.wav,,1,27
728.wav,,1,27
729.wav,,1,27
731.wav,,1,28
733.wav,,1,27
734.wav,,1,27
735.wav,,1,27
736.wav,,1,27
738.wav,,1,27
739.wav,,1,27
750.wav,,1,52
753.wav,,1,-1
754.wav,,1,52
757.wav,,1,52
760.wav,,1,52
761.wav,,1,52
763.wav,,1,-1
768.wav,,1,52
769.wav,,1,52
770.wav,,1,-1
772.wav,,1,52
776.wav,,1,52
783.wav,,1,-1
790.wav,,1,27
791.wav,,1,-1
793.wav,,1,-1
798.wav,,1,-1
799.wav,,1,-1
806.wav,,1,59
808.wav,,1,59
810.wav,,1,-1
814.wav,,1,-1
818.wav,,1,-1
823.wav,,1,27
834.wav,,1,-1
849.wav,,1,-1
867.wav,,1,-1
879.wav,,1,27
896.wav,,1,-1
897.wav,,1,-1
898.wav,,1,59
899.wav,,1,58
900.wav,,1,58
902.wav,,1,47
903.wav,,1,-1
904.wav,,1,-1
905.wav,,1,60
906.wav,,1,-1
918.wav,,1,-1
919.wav,,1,59
921.wav,,1,53
922.wav,,1,53
924.wav,,1,-1
925.wav,,1,24
928.wav,,1,-1
930.wav,,1,24
932.wav,,1,-1
933.wav,,1,-1
935.wav,,1,59
936.wav,,1,56
939.wav,,1,-1
941.wav,,1,-1
942.wav,,1,48
943.wav,,1,-1
945.wav,,1,48
946.wav,,1,48
947.wav,,1,59
959.wav,,1,-1
963.wav,,1,-1
964.wav,,1,-1
971.wav,,1,-1
973.wav,,1,-1
974.wav,,1,-1
975.wav,,1,-1
977.wav,,1,-1
982.wav,,1,-1
983.wav,,1,-1
984.wav,,1,-1
985.wav,,1,-1
989.wav,,1,-1
992.wav,,1,-1
997.wav,,1,29
1004.wav,,1,-1
1013.wav,,1,-1
1015.wav,,1,59
1020.wav,,1,-1
1021.wav,,1,-1
1023.wav,,1,-1
1025.wav,,1,-1
1034.wav,,1,-1
1035.wav,,1,-1
1037.wav,,1,56
1038.wav,,1,-1
1039.wav,,1,-1
1040.wav,,1,-1
1041.wav,,1,-1
1042.wav,,1,-1
1043.wav,,1,-1
1044.wav,,1,-1
1045.wav,,1,-1
1046.wav,,1,-1
1048.wav,,1,-1
1052.wav,,1,59
1057.wav,,1,59
1061.wav,,1,-1
1062.wav,,1,-1
1064.wav,,1,59
1067.wav,,1,-1
1069.wav,,1,59
1072.wav,,1,-1
1073.wav,,1,-1
1074.wav,,1,-1
1076.wav,,1,59
1077.wav,,1,59
1078.wav,,1,59
1079.wav,,1,59
1080.wav,,1,59
1083.wav,,1,-1
1085.wav,,1,59
1087.wav,,1,55
1091.wav,,1,-1
1092.wav,,1,-1
1094.wav,,1,-1
1095.wav,,1,59
1097.wav,,1,-1
1098.wav,,1,48
1100.wav,,1,59
1101.wav,,1,48
